fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-10T03:00:00+0000,18.7,0.0,94.0,0.4,219.0,
2026-08-10T04:00:00+0000,17.5,0.0,95.0,0.6,250.0,
2026-08-10T05:00:00+0000,17.4,0.0,97.0,0.1,207.0,
2026-08-10T06:00:00+0000,17.7,0.0,96.0,0.0,90.0,
2026-08-10T07:00:00+0000,18.2,0.0,96.0,0.0,346.0,
2026-08-10T08:00:00+0000,20.6,0.0,87.0,1.3,42.0,
2026-08-10T09:00:00+0000,22.1,0.0,80.0,2.0,359.0,
2026-08-10T10:00:00+0000,22.9,0.0,78.0,3.3,8.0,
2026-08-10T11:00:00+0000,24.3,0.0,71.0,3.6,359.0,
2026-08-10T12:00:00+0000,25.4,0.0,68.0,3.5,360.0,
2026-08-10T13:00:00+0000,26.5,0.0,63.0,3.1,358.0,
2026-08-10T14:00:00+0000,27.2,0.0,63.0,3.0,4.0,
2026-08-10T15:00:00+0000,26.7,0.0,68.0,3.3,359.0,
2026-08-10T16:00:00+0000,26.6,0.0,66.0,2.1,337.0,
2026-08-10T17:00:00+0000,25.4,0.0,72.0,2.5,357.0,
2026-08-10T18:00:00+0000,24.5,0.0,75.0,0.8,114.0,
2026-08-10T19:00:00+0000,23.4,0.0,79.0,0.8,337.0,
2026-08-10T20:00:00+0000,22.3,0.0,82.0,1.7,238.0,
2026-08-10T21:00:00+0000,21.8,0.0,84.0,0.8,255.0,
2026-08-10T22:00:00+0000,20.2,0.0,89.0,0.5,258.0,
2026-08-10T23:00:00+0000,19.8,0.0,90.0,0.5,265.0,
2026-08-11T00:00:00+0000,18.6,0.0,94.0,0.3,263.0,
2026-08-11T01:00:00+0000,17.8,0.0,95.0,0.6,241.0,
