fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-09T13:00:00+0000,25.0,0.0,71.0,2.4,7.0,
2026-08-09T14:00:00+0000,23.9,0.0,74.0,2.4,5.0,
2026-08-09T15:00:00+0000,23.8,0.0,74.0,2.4,26.0,
2026-08-09T16:00:00+0000,23.3,0.0,76.0,2.0,11.0,
2026-08-09T17:00:00+0000,22.8,0.0,77.0,1.8,15.0,
2026-08-09T18:00:00+0000,22.3,0.0,80.0,1.3,25.0,
2026-08-09T19:00:00+0000,21.8,0.0,81.0,0.6,17.0,
2026-08-09T20:00:00+0000,21.3,0.0,83.0,0.7,323.0,
2026-08-09T21:00:00+0000,21.0,0.0,83.0,1.5,293.0,
2026-08-09T22:00:00+0000,20.6,0.0,85.0,1.0,316.0,
2026-08-09T23:00:00+0000,20.1,0.0,86.0,1.1,318.0,
2026-08-10T00:00:00+0000,19.3,0.0,90.0,0.1,204.0,
2026-08-10T01:00:00+0000,19.0,0.0,91.0,0.1,81.0,
2026-08-10T02:00:00+0000,18.9,0.0,93.0,0.3,232.0,
2026-08-10T03:00:00+0000,18.7,0.0,94.0,0.4,219.0,
2026-08-10T04:00:00+0000,17.5,0.0,95.0,0.6,250.0,
2026-08-10T05:00:00+0000,17.4,0.0,97.0,0.1,207.0,
2026-08-10T06:00:00+0000,17.7,0.0,96.0,0.0,90.0,
2026-08-10T07:00:00+0000,18.2,0.0,96.0,0.0,346.0,
2026-08-10T08:00:00+0000,20.6,0.0,87.0,1.3,42.0,
2026-08-10T09:00:00+0000,22.1,0.0,80.0,2.0,359.0,
2026-08-10T10:00:00+0000,22.9,0.0,78.0,3.3,8.0,
2026-08-10T11:00:00+0000,24.3,0.0,71.0,3.6,359.0,
