fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-25T11:00:00+0000,20.6,0.0,57.0,3.2,225.0,
2026-08-25T12:00:00+0000,22.4,0.0,48.0,4.0,217.0,
2026-08-25T13:00:00+0000,24.0,0.0,44.0,5.9,236.0,
2026-08-25T14:00:00+0000,24.6,0.0,42.0,4.8,259.0,
2026-08-25T15:00:00+0000,24.5,0.0,40.0,3.9,255.0,
2026-08-25T16:00:00+0000,25.4,0.0,39.0,5.2,259.0,
2026-08-25T17:00:00+0000,24.7,0.0,40.0,5.1,262.0,
2026-08-25T18:00:00+0000,23.4,0.0,42.0,4.9,248.0,
2026-08-25T19:00:00+0000,21.8,0.0,43.0,3.7,243.0,
2026-08-25T20:00:00+0000,19.8,0.0,46.0,3.0,222.0,
2026-08-25T21:00:00+0000,18.2,0.0,50.0,3.7,219.0,
2026-08-25T22:00:00+0000,17.6,0.0,52.0,3.5,208.0,
2026-08-25T23:00:00+0000,17.6,0.0,55.0,3.6,202.0,
2026-08-26T00:00:00+0000,17.1,0.0,58.0,3.7,179.0,
2026-08-26T01:00:00+0000,17.0,0.0,60.0,3.7,171.0,
2026-08-26T02:00:00+0000,16.5,0.0,61.0,1.4,95.0,
2026-08-26T03:00:00+0000,15.3,0.0,63.0,1.9,109.0,
2026-08-26T04:00:00+0000,15.0,0.0,64.0,1.8,83.0,
2026-08-26T05:00:00+0000,14.3,0.0,67.0,2.6,106.0,
2026-08-26T06:00:00+0000,14.0,0.0,68.0,2.9,101.0,
2026-08-26T07:00:00+0000,14.1,0.0,68.0,2.6,109.0,
2026-08-26T08:00:00+0000,18.3,0.0,57.0,2.6,104.0,
2026-08-26T09:00:00+0000,22.4,0.0,47.0,1.6,152.0,
