fint,ta,prec,hr,vv,dv,pres_nmar
2026-08-24T22:00:00+0000,17.5,0.0,81.0,6.0,222.0,
2026-08-24T23:00:00+0000,17.3,0.0,82.0,5.9,223.0,
2026-08-25T00:00:00+0000,17.0,0.0,83.0,5.7,222.0,
2026-08-25T01:00:00+0000,17.3,0.0,83.0,3.2,248.0,
2026-08-25T02:00:00+0000,17.1,0.0,77.0,4.7,250.0,
2026-08-25T03:00:00+0000,17.0,0.0,79.0,3.2,232.0,
2026-08-25T04:00:00+0000,16.3,0.0,87.0,3.5,233.0,
2026-08-25T05:00:00+0000,16.1,0.0,85.0,2.8,233.0,
2026-08-25T06:00:00+0000,14.7,0.0,88.0,3.0,217.0,
2026-08-25T07:00:00+0000,16.0,0.0,84.0,4.2,225.0,
2026-08-25T08:00:00+0000,17.7,0.0,76.0,5.6,229.0,
2026-08-25T09:00:00+0000,18.9,0.0,72.0,2.7,259.0,
2026-08-25T10:00:00+0000,18.9,0.0,69.0,2.2,216.0,
2026-08-25T11:00:00+0000,20.6,0.0,57.0,3.2,225.0,
2026-08-25T12:00:00+0000,22.4,0.0,48.0,4.0,217.0,
2026-08-25T13:00:00+0000,24.0,0.0,44.0,5.9,236.0,
2026-08-25T14:00:00+0000,24.6,0.0,42.0,4.8,259.0,
2026-08-25T15:00:00+0000,24.5,0.0,40.0,3.9,255.0,
2026-08-25T16:00:00+0000,25.4,0.0,39.0,5.2,259.0,
2026-08-25T17:00:00+0000,24.7,0.0,40.0,5.1,262.0,
