fint,ta,prec,hr,vv,dv,pres_nmar
2026-09-04T20:00:00+0000,31.7,0.0,35.0,,,
2026-09-04T21:00:00+0000,31.4,0.0,34.0,,,
2026-09-04T22:00:00+0000,30.1,0.0,39.0,,,
2026-09-04T23:00:00+0000,30.2,0.0,41.0,,,
2026-09-05T00:00:00+0000,30.1,0.0,36.0,,,
2026-09-05T01:00:00+0000,29.0,0.0,36.0,,,
2026-09-05T02:00:00+0000,29.3,0.0,38.0,,,
2026-09-05T03:00:00+0000,28.8,0.0,39.0,,,
2026-09-05T04:00:00+0000,28.8,0.0,37.0,,,
2026-09-05T05:00:00+0000,28.6,0.0,39.0,,,
2026-09-05T06:00:00+0000,27.2,0.0,44.0,,,
2026-09-05T07:00:00+0000,28.0,0.0,40.0,,,
2026-09-05T08:00:00+0000,29.1,0.0,35.0,,,
2026-09-05T09:00:00+0000,30.3,0.0,34.0,,,
2026-09-05T10:00:00+0000,31.1,0.0,34.0,,,
2026-09-05T11:00:00+0000,30.9,0.0,38.0,,,
2026-09-05T12:00:00+0000,33.6,0.0,34.0,,,
2026-09-05T13:00:00+0000,34.1,0.0,32.0,,,
2026-09-05T14:00:00+0000,33.9,0.0,32.0,,,
2026-09-05T15:00:00+0000,32.8,0.0,33.0,,,
2026-09-05T16:00:00+0000,32.2,0.0,32.0,,,
2026-09-05T17:00:00+0000,31.9,0.0,32.0,,,
2026-09-05T18:00:00+0000,31.4,0.0,30.0,,,
