fint,ta,prec,hr,vv,dv,pres_nmar
2026-09-19T11:00:00+0000,27.6,0.0,30.0,1.7,145.0,
2026-09-19T12:00:00+0000,28.0,0.0,27.0,2.8,193.0,
2026-09-19T13:00:00+0000,29.5,0.0,25.0,1.5,126.0,
2026-09-19T14:00:00+0000,29.7,0.0,25.0,2.2,3.0,
2026-09-19T15:00:00+0000,30.8,0.0,23.0,1.8,303.0,
2026-09-19T16:00:00+0000,30.1,0.0,23.0,1.8,175.0,
2026-09-19T17:00:00+0000,29.4,0.0,23.0,2.3,48.0,
2026-09-19T18:00:00+0000,26.6,0.0,29.0,3.6,336.0,
2026-09-19T19:00:00+0000,21.2,0.0,37.0,2.7,345.0,
2026-09-19T20:00:00+0000,20.0,0.0,39.0,2.1,352.0,
2026-09-19T21:00:00+0000,18.7,0.0,41.0,1.2,8.0,
2026-09-19T22:00:00+0000,17.9,0.0,43.0,2.1,112.0,
2026-09-19T23:00:00+0000,15.1,0.0,51.0,0.8,120.0,
2026-09-20T00:00:00+0000,15.1,0.0,48.0,0.8,135.0,
2026-09-20T01:00:00+0000,14.5,0.0,53.0,1.5,181.0,
2026-09-20T02:00:00+0000,12.7,0.0,59.0,0.5,65.0,
2026-09-20T03:00:00+0000,12.0,0.0,58.0,1.4,139.0,
2026-09-20T04:00:00+0000,11.1,0.0,62.0,0.7,230.0,
2026-09-20T05:00:00+0000,10.6,0.0,65.0,0.6,324.0,
2026-09-20T06:00:00+0000,9.7,0.0,68.0,0.9,91.0,
